full_name;stars;age_years;releases_count;primary_language;forks_count;open_issues_count;created_at;updated_at
tuguangquan/mybatis;4776;11.38;0;Java;2362;19;2014-11-03T04:51:06Z;2026-03-20T09:10:22Z
ronmamo/reflections;4775;12.93;3;Java;707;122;2013-04-16T16:19:26Z;2026-03-21T09:04:34Z
etsy/AndroidStaggeredGrid;4771;12.28;7;Java;1112;106;2013-12-09T19:43:45Z;2026-03-19T14:37:11Z
TheoKanning/openai-java;4762;5.51;22;Java;1202;130;2020-09-15T02:58:52Z;2026-03-22T23:14:30Z
zq2599/blog_demos;4759;8.95;0;Java;1923;153;2017-04-09T04:51:56Z;2026-03-22T07:06:46Z
saiwu-bigkoo/Android-ConvenientBanner;4759;11.24;0;Java;1047;94;2014-12-23T06:12:33Z;2026-03-06T11:00:43Z
tencentmusic/supersonic;4756;2.78;15;Java;935;326;2023-06-12T07:23:28Z;2026-03-22T10:44:42Z
nisrulz/android-tips-tricks;4752;9.57;0;Java;570;2;2016-08-25T20:27:33Z;2026-03-18T18:50:26Z
dromara/dynamic-tp;4752;4.2;19;Java;858;25;2022-01-07T16:35:27Z;2026-03-22T05:44:29Z
zlt2000/microservices-platform;4750;7.04;30;Java;1692;16;2019-03-07T07:13:37Z;2026-03-22T13:18:45Z
kyleduo/SwitchButton;4746;11.53;0;Java;866;22;2014-09-09T07:20:43Z;2026-03-18T10:53:31Z
grobidOrg/grobid;4732;13.52;22;Java;537;345;2012-09-13T15:48:54Z;2026-03-22T15:27:02Z
hongyangAndroid/baseAdapter;4732;10.63;0;Java;1196;115;2015-08-03T02:55:51Z;2026-03-18T12:26:36Z
saysky/ForestBlog;4717;8.45;0;Java;1645;46;2017-10-08T15:27:47Z;2026-03-21T05:33:48Z
google/cameraview;4717;9.63;0;Java;1017;177;2016-08-04T05:22:14Z;2026-03-18T06:22:37Z
stleary/JSON-java;4713;15.25;25;Java;2597;23;2010-12-21T17:46:09Z;2026-03-22T05:44:02Z
spring-attic/spring-security-oauth;4700;14.66;0;Java;3979;545;2011-07-26T18:08:49Z;2026-03-17T07:08:40Z
cjlin1/libsvm;4695;12.53;0;Java;1638;112;2013-09-10T14:32:07Z;2026-03-21T13:42:06Z
hansonwang99/Spring-Boot-In-Action;4695;7.15;0;Java;1477;25;2019-01-28T12:56:51Z;2026-03-21T19:49:10Z
SPLWare/esProc;4693;4.36;0;Java;361;50;2021-11-09T15:41:25Z;2026-03-20T09:45:02Z
charles2gan/GDA-android-reversing-Tool;4688;8.39;40;Java;561;55;2017-10-31T08:18:29Z;2026-03-22T17:09:00Z
pardom-zz/ActiveAndroid;4688;13.35;0;Java;1026;328;2012-11-15T18:10:45Z;2026-03-22T14:17:23Z
bytedeco/javacpp;4688;11.92;14;Java;599;111;2014-04-21T12:47:21Z;2026-03-20T14:36:43Z
jgilfelt/chuck;4687;9.12;5;Java;455;54;2017-02-07T23:51:39Z;2026-03-13T18:38:31Z
